vsi_path	slide_id	is_overview	file_size_bytes	num_scenes	scene_idx	scene_name	width_px	height_px	mpp_x_um	mpp_y_um	magnification	compression	num_channels	num_z_slices	num_t_frames	error
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764012HE1.vsi	10764012HE1	0	390945	1	0	40x	35409	43919	0.170666	0.170662	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764012HE1_Overview.vsi	10764012HE1_Overview	1	1433886		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764013HE1.vsi	10764013HE1	0	397155	1	0	40x	40578	36653	0.170665	0.170664	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764013HE1_Overview.vsi	10764013HE1_Overview	1	1433398		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764018HE1.vsi	10764018HE1	0	692173	1	0	40x	24827	28777	0.170666	0.170664	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764018HE1_Overview.vsi	10764018HE1_Overview	1	1433588		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764029HE1.vsi	10764029HE1	0	369483	1	0	40x	16342	23018	0.170656	0.170661	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764029HE1_Overview.vsi	10764029HE1_Overview	1	1437370		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764043HE1.vsi	10764043HE1	0	553923	1	0	40x	24827	21491	0.170666	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764043HE1_Overview.vsi	10764043HE1_Overview	1	1432566		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764044HE1.vsi	10764044HE1	0	304997	1	0	40x	34514	32705	0.170664	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764044HE1_Overview.vsi	10764044HE1_Overview	1	1432262		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764063HE1.vsi	10764063HE1	0	805683	1	0	40x	29976	29673	0.170663	0.170661	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764063HE1_Overview.vsi	10764063HE1_Overview	1	1435960		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764064HE1.vsi	10764064HE1	0	453731	1	0	40x	38747	43634	0.170663	0.170662	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764064HE1_Overview.vsi	10764064HE1_Overview	1	1436518		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764083HE1.vsi	10764083HE1	0	518129	1	0	40x	20574	26661	0.170664	0.17066	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764083HE1_Overview.vsi	10764083HE1_Overview	1	1440680		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10764084HE1.vsi	10764084HE1	0	391609	1	0	40x	41169	36958	0.170662	0.170665	40.0	Compression.Jpeg	3	1	1	
